im x,im y,roadway x,roadway y
1518.974113951596,622.0687267016103,920,0
1532.7462206880134,585.504186009602,930,0
1568.8310430076394,489.7000378627586,960,0
1578.6873224068559,463.53190425314267,970,0
1607.1306356620635,388.0157392363932,1000,0
1644.579701593189,288.58956419118266,1050,0
1662.2142321198114,241.7704012725472,1080,0
1669.3071665935167,222.93886764060443,1090,0
1413.1957970271656,605.7211686314711,920,12
1430.5485084654663,569.9312012899758,930,12
1475.6936555891239,476.819335347432,960,12
1488.3267570900123,450.76356350184955,970,12
1523.627802690583,377.95515695067263,1000,12
1571.2245131729667,279.78694158075604,1050,12
1593.9144254278729,232.98899755501222,1080,12
1601.680341880342,216.97179487179488,1090,12
1306.06253633758,589.1642101612623,920,24
1326.9615713796645,554.1465251626155,930,24
1380.9328716806167,463.71412055157464,960,24
1396.4132280137096,437.7757822193285,970,24
1438.2538361938346,367.66913689082344,1000,24
1496.0844883582636,270.7701386029916,1050,24
1523.9977236882753,223.9997073313497,1080,24
1531.868378702277,210.81191576784798,1090,24
1206.2225662004532,573.7343965946155,920,48
1230.5878964207352,539.4610127879215,930,48
1293.0751563487395,451.56358545248526,960,48
1311.4154926447713,425.76523265632636,970,48
1359.4650654749273,358.17651391264184,1000,48
1427.4577339247958,262.5349280709755,1050,48
1460.643599634854,215.85417709590976,1080,48
1468.2206587385592,205.1959404769317,1090,48
im space-> roadway marking coordinate system Homography Matrix
-0.9354633997219215,-1.3522979690676271,933.8541713635378
0.1392794038662119,0.04972977618662326,-243.5100709608634
-0.0008806061200787836,-0.0017498795106918464,1.0
